run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max
General-0-20201009-16:28:09-10220,itervar,,,nUser,10,,,,,,,
General-0-20201009-16:28:09-10220,itervar,,,simulationTime,100s,,,,,,,
General-0-20201009-16:28:09-10220,itervar,,,timeslot,0.5ms,,,,,,,
General-0-20201009-16:28:09-10220,itervar,,,userLambda,2000,,,,,,,
General-0-20201009-16:28:09-10220,itervar,,,warmUp,5000ms,,,,,,,
General-0-20201009-16:28:09-10220,param,,,**.NUM_USER,10,,,,,,,
General-0-20201009-16:28:09-10220,param,,,**.TIMESLOT,0.5ms,,,,,,,
General-0-20201009-16:28:09-10220,param,,,**.WARMUP,5000ms,,,,,,,
General-0-20201009-16:28:09-10220,param,,,**.packetGenerator.senders[*].lambda,2000,,,,,,,
General-5-20201009-16:32:59-11028,runattr,,,configname,General,,,,,,,
General-5-20201009-16:32:59-11028,runattr,,,datetime,20201009-16:32:59,,,,,,,
General-5-20201009-16:32:59-11028,runattr,,,experiment,General,,,,,,,
General-5-20201009-16:32:59-11028,runattr,,,inifile,FairNetworkConf.ini,,,,,,,
General-5-20201009-16:32:59-11028,runattr,,,iterationvars,"$simulationTime=100s, $warmUp=5000ms, $nUser=200, $timeslot=0.5ms, $userLambda=100",,,,,,,
General-5-20201009-16:32:59-11028,runattr,,,iterationvarsf,"simulationTime=100s,warmUp=5000ms,nUser=200,timeslot=0.5ms,userLambda=100-",,,,,,,
General-5-20201009-16:32:59-11028,runattr,,,measurement,"$simulationTime=100s, $warmUp=5000ms, $nUser=200, $timeslot=0.5ms, $userLambda=100",,,,,,,
General-5-20201009-16:32:59-11028,runattr,,,network,FairNetwork,,,,,,,
General-5-20201009-16:32:59-11028,runattr,,,processid,11028,,,,,,,
General-5-20201009-16:32:59-11028,runattr,,,repetition,0,,,,,,,
General-5-20201009-16:32:59-11028,runattr,,,replication,#0,,,,,,,
General-5-20201009-16:32:59-11028,runattr,,,resultdir,results,,,,,,,
General-5-20201009-16:32:59-11028,runattr,,,runnumber,5,,,,,,,
General-5-20201009-16:32:59-11028,runattr,,,seedset,0,,,,,,,
General-5-20201009-16:32:59-11028,itervar,,,nUser,200,,,,,,,
General-5-20201009-16:32:59-11028,itervar,,,simulationTime,100s,,,,,,,
General-5-20201009-16:32:59-11028,itervar,,,timeslot,0.5ms,,,,,,,
General-5-20201009-16:32:59-11028,itervar,,,userLambda,100,,,,,,,
General-5-20201009-16:32:59-11028,itervar,,,warmUp,5000ms,,,,,,,
General-5-20201009-16:32:59-11028,param,,,**.NUM_USER,200,,,,,,,
General-5-20201009-16:32:59-11028,param,,,**.TIMESLOT,0.5ms,,,,,,,
General-5-20201009-16:32:59-11028,param,,,**.WARMUP,5000ms,,,,,,,
General-5-20201009-16:32:59-11028,param,,,**.packetGenerator.senders[*].lambda,100,,,,,,,
General-3-20201009-16:28:48-18336,runattr,,,configname,General,,,,,,,
General-3-20201009-16:28:48-18336,runattr,,,datetime,20201009-16:28:48,,,,,,,
General-3-20201009-16:28:48-18336,runattr,,,experiment,General,,,,,,,
General-3-20201009-16:28:48-18336,runattr,,,inifile,FairNetworkConf.ini,,,,,,,
General-3-20201009-16:28:48-18336,runattr,,,iterationvars,"$simulationTime=100s, $warmUp=5000ms, $nUser=10, $timeslot=1.5ms, $userLambda=100",,,,,,,
General-3-20201009-16:28:48-18336,runattr,,,iterationvarsf,"simulationTime=100s,warmUp=5000ms,nUser=10,timeslot=1.5ms,userLambda=100-",,,,,,,
General-3-20201009-16:28:48-18336,runattr,,,measurement,"$simulationTime=100s, $warmUp=5000ms, $nUser=10, $timeslot=1.5ms, $userLambda=100",,,,,,,
General-3-20201009-16:28:48-18336,runattr,,,network,FairNetwork,,,,,,,
General-3-20201009-16:28:48-18336,runattr,,,processid,18336,,,,,,,
General-3-20201009-16:28:48-18336,runattr,,,repetition,0,,,,,,,
General-3-20201009-16:28:48-18336,runattr,,,replication,#0,,,,,,,
General-3-20201009-16:28:48-18336,runattr,,,resultdir,results,,,,,,,
General-3-20201009-16:28:48-18336,runattr,,,runnumber,3,,,,,,,
General-3-20201009-16:28:48-18336,runattr,,,seedset,0,,,,,,,
General-3-20201009-16:28:48-18336,itervar,,,nUser,10,,,,,,,
General-3-20201009-16:28:48-18336,itervar,,,simulationTime,100s,,,,,,,
General-3-20201009-16:28:48-18336,itervar,,,timeslot,1.5ms,,,,,,,
General-3-20201009-16:28:48-18336,itervar,,,userLambda,100,,,,,,,
General-3-20201009-16:28:48-18336,itervar,,,warmUp,5000ms,,,,,,,
General-3-20201009-16:28:48-18336,param,,,**.NUM_USER,10,,,,,,,
General-3-20201009-16:28:48-18336,param,,,**.TIMESLOT,1.5ms,,,,,,,
General-3-20201009-16:28:48-18336,param,,,**.WARMUP,5000ms,,,,,,,
General-3-20201009-16:28:48-18336,param,,,**.packetGenerator.senders[*].lambda,100,,,,,,,
General-4-20201009-16:28:51-15780,runattr,,,configname,General,,,,,,,
General-4-20201009-16:28:51-15780,runattr,,,datetime,20201009-16:28:51,,,,,,,
General-4-20201009-16:28:51-15780,runattr,,,experiment,General,,,,,,,
General-4-20201009-16:28:51-15780,runattr,,,inifile,FairNetworkConf.ini,,,,,,,
General-4-20201009-16:28:51-15780,runattr,,,iterationvars,"$simulationTime=100s, $warmUp=5000ms, $nUser=200, $timeslot=0.5ms, $userLambda=2000",,,,,,,
General-4-20201009-16:28:51-15780,runattr,,,iterationvarsf,"simulationTime=100s,warmUp=5000ms,nUser=200,timeslot=0.5ms,userLambda=2000-",,,,,,,
General-4-20201009-16:28:51-15780,runattr,,,measurement,"$simulationTime=100s, $warmUp=5000ms, $nUser=200, $timeslot=0.5ms, $userLambda=2000",,,,,,,
General-4-20201009-16:28:51-15780,runattr,,,network,FairNetwork,,,,,,,
General-4-20201009-16:28:51-15780,runattr,,,processid,15780,,,,,,,
General-4-20201009-16:28:51-15780,runattr,,,repetition,0,,,,,,,
General-4-20201009-16:28:51-15780,runattr,,,replication,#0,,,,,,,
General-4-20201009-16:28:51-15780,runattr,,,resultdir,results,,,,,,,
General-4-20201009-16:28:51-15780,runattr,,,runnumber,4,,,,,,,
General-4-20201009-16:28:51-15780,runattr,,,seedset,0,,,,,,,
General-4-20201009-16:28:51-15780,itervar,,,nUser,200,,,,,,,
General-4-20201009-16:28:51-15780,itervar,,,simulationTime,100s,,,,,,,
General-4-20201009-16:28:51-15780,itervar,,,timeslot,0.5ms,,,,,,,
General-4-20201009-16:28:51-15780,itervar,,,userLambda,2000,,,,,,,
General-4-20201009-16:28:51-15780,itervar,,,warmUp,5000ms,,,,,,,
General-4-20201009-16:28:51-15780,param,,,**.NUM_USER,200,,,,,,,
General-4-20201009-16:28:51-15780,param,,,**.TIMESLOT,0.5ms,,,,,,,
General-4-20201009-16:28:51-15780,param,,,**.WARMUP,5000ms,,,,,,,
General-4-20201009-16:28:51-15780,param,,,**.packetGenerator.senders[*].lambda,2000,,,,,,,
General-6-20201009-16:34:52-5840,runattr,,,configname,General,,,,,,,
General-6-20201009-16:34:52-5840,runattr,,,datetime,20201009-16:34:52,,,,,,,
General-6-20201009-16:34:52-5840,runattr,,,experiment,General,,,,,,,
General-6-20201009-16:34:52-5840,runattr,,,inifile,FairNetworkConf.ini,,,,,,,
General-6-20201009-16:34:52-5840,runattr,,,iterationvars,"$simulationTime=100s, $warmUp=5000ms, $nUser=200, $timeslot=1.5ms, $userLambda=2000",,,,,,,
General-6-20201009-16:34:52-5840,runattr,,,iterationvarsf,"simulationTime=100s,warmUp=5000ms,nUser=200,timeslot=1.5ms,userLambda=2000-",,,,,,,
General-6-20201009-16:34:52-5840,runattr,,,measurement,"$simulationTime=100s, $warmUp=5000ms, $nUser=200, $timeslot=1.5ms, $userLambda=2000",,,,,,,
General-6-20201009-16:34:52-5840,runattr,,,network,FairNetwork,,,,,,,
General-6-20201009-16:34:52-5840,runattr,,,processid,5840,,,,,,,
General-6-20201009-16:34:52-5840,runattr,,,repetition,0,,,,,,,
General-6-20201009-16:34:52-5840,runattr,,,replication,#0,,,,,,,
General-6-20201009-16:34:52-5840,runattr,,,resultdir,results,,,,,,,
General-6-20201009-16:34:52-5840,runattr,,,runnumber,6,,,,,,,
General-6-20201009-16:34:52-5840,runattr,,,seedset,0,,,,,,,
General-6-20201009-16:34:52-5840,itervar,,,nUser,200,,,,,,,
General-6-20201009-16:34:52-5840,itervar,,,simulationTime,100s,,,,,,,
