run,type,module,name,attrname,attrvalue,value,count,sumweights,mean,stddev,min,max,vectime,vecvalue
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[2],packetBytesStat:stats,source,packetBytes,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[2],packetBytesStat:stats,title,"Packet bytes, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[2],packetDelayStat:stats,,,,2025,,27.931843082855,18.211117890212,0.015935927391,80.19760634522,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[2],packetDelayStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[2],packetDelayStat:stats,source,packetDelay,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[2],packetDelayStat:stats,title,"Packet delay, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[3],userThroughputStat:stats,,,,1111,,37.316731673167,154.76392738573,0,1120,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[3],userThroughputStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[3],userThroughputStat:stats,source,userThroughput,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[3],userThroughputStat:stats,title,"User throughput, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[3],packetBytesStat:stats,,,,1950,,38.269743589744,21.56453812874,1,75,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[3],packetBytesStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[3],packetBytesStat:stats,source,packetBytes,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[3],packetBytesStat:stats,title,"Packet bytes, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[3],packetDelayStat:stats,,,,1950,,23.919902358627,16.949715977658,0.019545601632,80.819330769808,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[3],packetDelayStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[3],packetDelayStat:stats,source,packetDelay,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[3],packetDelayStat:stats,title,"Packet delay, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[4],userThroughputStat:stats,,,,1111,,36.697169716972,69.625688710472,0,687.77777777778,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[4],userThroughputStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[4],userThroughputStat:stats,source,userThroughput,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[4],userThroughputStat:stats,title,"User throughput, stats",,,,,,,,,
General-0-20200908-17:23:01-11960,statistic,FairNetwork.user[4],packetBytesStat:stats,,,,1966,,37.328077314344,21.337245865763,1,75,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[4],packetBytesStat:stats,,,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[4],packetBytesStat:stats,source,packetBytes,,,,,,,,,
General-0-20200908-17:23:01-11960,attr,FairNetwork.user[4],packetBytesStat:stats,title,"Packet bytes, stats",,,,,,,,,
